"X1" "X2" "X3" "X4" "X5" "X6"
152.9 130.7 89.9 102.4 122 118.1
106.5 83.9 73.7 60.8 87.4 86.2
73.7 63.6 40 51.6 63.4 63.7
19.1 13.6 -27 -6.7 -20.4 -14.3
-9.2 -12.9 -34.9 -30.5 -22 -17.1
-91.6 -129.7 -181.9 -171.6 -104.8 -103.3
-7.4 -6.9 -10.6 -18 -8.3 -5.1
38 35.1 27 26.1 32.2 30.8
-8.8 -42.1 -94.6 -82.6 -28.8 -26.1
3.9 -13.6 -70.3 -51.2 -13.3 -11
62.7 42.9 -10.9 8.7 39.8 37.8
109.5 74.9 45 46.6 87.2 81.1
144.7 108.4 90.7 82.1 124.8 119
118 91.7 71.6 72.1 95.2 93.6
49.3 41.3 14.6 24.7 30.4 35
-31.6 -44.5 -90.5 -72.9 -45 -41.6
-57 -89.8 -115.8 -123.9 -64.5 -63.7
1.7 6.7 -21 -1.8 -23.9 -16.9
-34 -35.9 -84.4 -63.1 -64 -58.3
-43.1 -45.7 -99.2 -83.6 -58 -47.3
3.6 -4.1 -62.9 -35.2 -25.6 -17.2
34.1 23.9 -16.9 -3.3 17.5 23
31.6 8.9 -33.9 -29.4 25.4 26.2
75.4 44.9 23.8 14.6 84.4 79.9
133.3 104.7 67.2 75.9 93.5 88.6
143.7 126.4 105 110.1 118 116.4
-3.6 -28.6 -53.7 -55.4 -2 -1
-58.3 -77.5 -126.5 -111.6 -88.3 -84.5
-43.3 -53.2 -85.3 -73.9 -74.2 -64.2
-1.2 -2.3 -21.5 -14.2 -23.4 -18.4
2.3 -8.2 -31.6 -28.2 -16.5 -17.3
18.3 -10.2 -22.9 -34.6 6.1 4.9
0.1 -10.7 -74.8 -52.4 -21.2 -14.7
62.2 55.9 23 31.8 46.7 47.2
77.4 62.7 12.7 31.4 56.9 56.5
50.9 8.7 -34 -33.5 32.3 26.5
109.8 73.9 60.1 42.3 110.9 106.6
109.8 91.4 81.2 72.8 97.9 93.8
36.4 21.9 -3.2 -2.2 28.4 27.4
-46.8 -60.9 -102.8 -85.4 -53.1 -47.6
-35 -75.2 -99.3 -100.8 -64.1 -62.2
-25.2 -50.8 -88.4 -77.7 -59.4 -55.7
17.7 20.8 2.1 8 0.2 0.8
-24.7 -40.9 -90.9 -78 -30.8 -25.9
20.9 6.8 -24.8 -18.8 21 26.5
46.5 16.8 -12.2 -7.7 30.5 31.6
-44.6 -91.5 -127.9 -133.2 -22.1 -27
116 99.7 69.2 72.8 98.6 96.5
144.2 122.6 93.4 97.6 127.3 124.8
94.8 64.6 40.1 37.4 70.8 60.1
43.2 14.9 -1.3 11.4 35.7 47.7
21.4 12.8 -5.3 -0.4 20.7 24
-31.9 -38.8 -49.8 -52.1 -4.9 -2.3
-4.3 -2.4 -28.3 -14.2 -18.6 -16.8
